Summary Statistics
Total Hands,100000000
Total Bet,"500,000,000.00"
""
Hand Type,Hits,Frequency,1 in X hands
Royal Flush,69,0.000069%,"1 in 1,449,275"
Community Royal,124,0.000124%,"1 in 806,452"
Straight Flush,30821,0.030821%,"1 in 3,245"
Four of a Kind,168543,0.168543%,1 in 593
Full House,2596504,2.596504%,1 in 39
""
Payout Information
Fixed Payouts
"Community Royal (5,000 CHF)","620,000.00"
"Straight Flush (1,500 CHF)","46,231,500.00"
Four of a Kind (500 CHF),"84,271,500.00"
Full House (50 CHF),"129,825,200.00"
Total Fixed Payouts,"260,948,200.00"
""
Progressive Information
Remaining to Cover,"239,051,800.00"
Fair Progressive Value,"3,464,518.84"
""
Chunk Results
Chunk,Royal Flush,Community Royal,Straight Flush,Four of a Kind,Full House
1,1,1,325,1662,25966
2,3,2,304,1598,25949
3,0,1,308,1575,26220
4,1,2,312,1667,25812
5,2,0,324,1697,25970
6,2,2,302,1657,26160
7,1,0,327,1718,26121
8,2,3,295,1679,26106
9,0,4,312,1668,26294
10,0,2,326,1663,25941
11,3,0,330,1626,26097
12,0,0,313,1697,25891
13,1,1,308,1705,25619
14,1,0,350,1647,26102
15,0,3,323,1665,26105
16,0,1,309,1686,25811
17,0,1,333,1665,25960
18,0,0,335,1698,25794
19,0,0,285,1618,25894
20,0,1,336,1775,25993
21,0,0,281,1649,26092
22,2,2,294,1669,25926
23,0,0,304,1631,26108
24,0,1,313,1745,25666
25,1,0,290,1723,26087
26,1,1,317,1730,26080
27,0,1,298,1697,25787
28,0,3,314,1697,26108
29,0,1,297,1632,25843
30,0,2,303,1759,25729
31,3,1,301,1624,25794
32,0,1,311,1740,25868
33,1,3,290,1700,26143
34,0,0,319,1687,26019
35,1,2,292,1709,26084
36,0,2,286,1667,25870
37,0,1,293,1681,26028
38,1,2,290,1734,26062
39,0,2,295,1717,25946
40,1,1,321,1670,25727
41,0,0,326,1667,25928
42,0,0,273,1741,26144
43,0,2,327,1616,26060
44,0,0,279,1723,26273
45,3,0,245,1712,26181
46,2,1,291,1729,25868
47,0,1,324,1669,25972
48,1,1,306,1683,26032
49,0,1,315,1678,25920
50,1,1,294,1700,25697
51,0,2,308,1632,26027
52,0,1,280,1668,25683
53,0,0,322,1699,26144
54,0,2,311,1710,26157
55,1,2,289,1707,25888
56,1,3,294,1687,26041
57,1,1,327,1712,26141
58,0,0,306,1708,25968
59,3,0,287,1602,26312
60,1,1,333,1744,25905
61,0,3,316,1662,25966
62,0,0,309,1633,25939
63,0,3,298,1664,26097
64,1,1,328,1738,26042
65,0,2,313,1718,26124
66,2,4,303,1729,25770
67,0,1,325,1666,26154
68,0,1,325,1630,25751
69,0,1,329,1747,25987
70,1,0,317,1808,25797
71,2,0,320,1703,25860
72,1,3,306,1637,26307
73,0,0,323,1655,25777
74,0,1,301,1702,25892
75,1,0,310,1734,25957
76,0,2,290,1723,25985
77,1,2,313,1736,25961
78,1,2,327,1663,25965
79,2,4,310,1632,25508
80,0,0,289,1707,25680
81,1,2,331,1639,26039
82,0,1,301,1698,26082
83,1,3,308,1675,25956
84,3,0,295,1665,26173
85,1,1,338,1666,25908
86,0,2,294,1720,25942
87,0,0,329,1722,26025
88,3,1,320,1657,25519
89,1,5,279,1644,26053
90,0,0,296,1658,25924
91,1,0,292,1674,25890
92,1,3,282,1704,26026
93,0,0,326,1662,25700
94,1,1,315,1669,25862
95,0,1,314,1716,25864
96,0,0,295,1746,26070
97,0,0,323,1653,26308
98,1,2,316,1721,25690
99,0,2,285,1683,25710
100,1,1,327,1670,26131
